Season,gmDate,playLNm,playFNm,teamAbbr,teamConf,East_West,teamDiv,teamLoc,teamRslt,Wins,Game_count,teamDayOff,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt
2017,10/25/16,Porziņģis,Kristaps,NY,East,0,Atlantic,Away,Loss,0,1,0,Kristaps Porziņģis,Starter,33,PF,85,231,8/2/95,16,0,2,1,2,5,13,5,0.3846,8,2,0.25,5,3,0.6,6,3,0.5,4,3,7,CLE,East,Central,Home,Win
2017,10/25/16,Rose,Derrick,NY,East,0,Atlantic,Away,Loss,0,1,0,Derrick Rose,Starter,30,PG,75,190,10/4/88,17,1,4,0,1,1,17,7,0.4118,15,6,0.4,2,1,0.5,2,2,1,2,1,3,CLE,East,Central,Home,Win
2017,10/25/16,Anthony,Carmelo,NY,East,0,Atlantic,Away,Loss,0,1,0,Carmelo Anthony,Starter,30,SF,80,230,5/29/84,19,3,4,1,0,5,18,8,0.4444,14,7,0.5,4,1,0.25,2,2,1,1,4,5,CLE,East,Central,Home,Win
2017,10/25/16,Lee,Courtney,NY,East,0,Atlantic,Away,Loss,0,1,0,Courtney Lee,Starter,20,SG,77,200,10/3/85,0,0,2,0,1,1,5,0,0,3,0,0,2,0,0,0,0,0,1,2,3,CLE,East,Central,Home,Win
2017,10/25/16,Noah,Joakim,NY,East,0,Atlantic,Away,Loss,0,1,0,Joakim Noah,Starter,20,C,83,232,2/25/85,0,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,5,6,CLE,East,Central,Home,Win
2017,10/25/16,Holiday,Justin,NY,East,0,Atlantic,Away,Loss,0,1,0,Justin Holiday,Bench,26,SG,78,185,4/5/89,8,2,0,1,0,0,7,2,0.2857,4,0,0,3,2,0.6667,2,2,1,1,5,6,CLE,East,Central,Home,Win
2017,10/25/16,Jennings,Brandon,NY,East,0,Atlantic,Away,Loss,0,1,0,Brandon Jennings,Bench,21,PG,73,170,9/23/89,7,5,1,0,0,2,7,1,0.1429,3,1,0.3333,4,0,0,6,5,0.8333,1,2,3,CLE,East,Central,Home,Win
2017,10/25/16,Thomas,Lance,NY,East,0,Atlantic,Away,Loss,0,1,0,Lance Thomas,Bench,17,SF,80,225,4/24/88,2,1,1,2,0,2,4,1,0.25,4,1,0.25,0,0,0,0,0,0,0,1,1,CLE,East,Central,Home,Win
2017,10/25/16,O'Quinn,Kyle,NY,East,0,Atlantic,Away,Loss,0,1,0,Kyle O'Quinn,Bench,15,PF,82,224,3/26/90,2,1,1,0,2,3,3,1,0.3333,1,1,1,2,0,0,0,0,0,1,4,5,CLE,East,Central,Home,Win
2017,10/25/16,Kuzminskas,Mindaugas,NY,East,0,Atlantic,Away,Loss,0,1,0,Mindaugas Kuzminskas,Bench,9,SF,81,215,10/19/89,7,0,0,0,0,0,5,3,0.6,2,2,1,3,1,0.3333,0,0,0,0,1,1,CLE,East,Central,Home,Win
2017,10/25/16,Hernangómez,Guillermo,NY,East,0,Atlantic,Away,Loss,0,1,0,Willy Hernangómez,Bench,9,C,82,249,5/27/94,4,0,1,0,0,1,3,2,0.6667,3,2,0.6667,0,0,0,0,0,0,1,0,1,CLE,East,Central,Home,Win
2017,10/25/16,Baker,Ron,NY,East,0,Atlantic,Away,Loss,0,1,0,Ron Baker,Bench,7,SG,76,212,3/30/93,5,0,0,0,0,0,3,2,0.6667,2,1,0.5,1,1,1,0,0,0,0,1,1,CLE,East,Central,Home,Win
2017,10/25/16,Vujacic,Sasha,NY,East,0,Atlantic,Away,Loss,0,1,0,Sasha Vujacic,Bench,3,SG,79,205,3/8/84,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0.5,0,0,0,CLE,East,Central,Home,Win
2017,10/25/16,James,LeBron,CLE,East,0,Central,Home,Win,1,1,0,LeBron James,Starter,32,SF,80,240,12/30/84,19,14,4,0,1,3,14,9,0.6429,11,9,0.8182,3,0,0,2,1,0.5,3,8,11,NY,East,Atlantic,Away,Loss
2017,10/25/16,Irving,Kyrie,CLE,East,0,Central,Home,Win,1,1,0,Kyrie Irving,Starter,30,PG,75,191,3/23/92,29,4,0,2,0,1,22,12,0.5455,15,8,0.5333,7,4,0.5714,1,1,1,1,1,2,NY,East,Atlantic,Away,Loss
2017,10/25/16,Smith,Earl,CLE,East,0,Central,Home,Win,1,1,0,J.R. Smith,Starter,25,SG,78,220,11/9/85,8,2,0,1,0,1,13,3,0.2308,5,1,0.2,8,2,0.25,0,0,0,0,3,3,NY,East,Atlantic,Away,Loss
2017,10/25/16,Love,Kevin,CLE,East,0,Central,Home,Win,1,1,0,Kevin Love,Starter,25,PF,82,271,9/7/88,23,2,2,3,0,3,15,6,0.4,9,4,0.4444,6,2,0.3333,12,9,0.75,2,10,12,NY,East,Atlantic,Away,Loss
2017,10/25/16,Thompson,Tristan,CLE,East,0,Central,Home,Win,1,1,0,Tristan Thompson,Starter,22,C,80,225,3/13/91,0,0,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,2,4,6,NY,East,Atlantic,Away,Loss
2017,10/25/16,Jefferson,Richard,CLE,East,0,Central,Home,Win,1,1,0,Richard Jefferson,Bench,26,SF,79,222,6/21/80,13,1,2,2,0,1,7,5,0.7143,4,3,0.75,3,2,0.6667,2,1,0.5,0,4,4,NY,East,Atlantic,Away,Loss
2017,10/25/16,Dunleavy,Mike,CLE,East,0,Central,Home,Win,1,1,0,Mike Dunleavy,Bench,23,SG,81,220,9/15/80,4,2,0,3,0,0,3,2,0.6667,2,2,1,1,0,0,0,0,0,0,4,4,NY,East,Atlantic,Away,Loss
2017,10/25/16,Frye,Channing,CLE,East,0,Central,Home,Win,1,1,0,Channing Frye,Bench,14,PF,83,248,5/17/83,6,0,1,1,1,4,6,2,0.3333,1,0,0,5,2,0.4,0,0,0,2,2,4,NY,East,Atlantic,Away,Loss
2017,10/25/16,Shumpert,Iman,CLE,East,0,Central,Home,Win,1,1,0,Iman Shumpert,Bench,14,SG,77,220,6/26/90,2,3,2,0,1,2,3,1,0.3333,2,1,0.5,1,0,0,0,0,0,1,1,2,NY,East,Atlantic,Away,Loss
2017,10/25/16,Liggins,DeAndre,CLE,East,0,Central,Home,Win,1,1,0,DeAndre Liggins,Bench,12,SG,78,209,3/31/88,4,3,1,0,1,1,3,2,0.6667,3,2,0.6667,0,0,0,0,0,0,0,3,3,NY,East,Atlantic,Away,Loss
2017,10/25/16,Andersen,Chris,CLE,East,0,Central,Home,Win,1,1,0,Chris Andersen,Bench,6,PF,82,230,7/7/78,2,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NY,East,Atlantic,Away,Loss
2017,10/25/16,McRae,Jordan,CLE,East,0,Central,Home,Win,1,1,0,Jordan McRae,Bench,6,SG,78,185,3/28/91,2,0,0,0,0,1,4,1,0.25,4,1,0.25,0,0,0,0,0,0,0,0,0,NY,East,Atlantic,Away,Loss
2017,10/25/16,Jones,James,CLE,East,0,Central,Home,Win,1,1,0,James Jones,Bench,6,SG,80,225,10/4/80,5,0,0,0,0,1,2,1,0.5,1,0,0,1,1,1,2,2,1,0,0,0,NY,East,Atlantic,Away,Loss
2017,10/25/16,Gobert,Rudy,UTA,West,1,Northwest,Away,Loss,0,1,0,Rudy Gobert,Starter,41,C,85,220,6/26/92,12,2,3,0,2,3,7,4,0.5714,7,4,0.5714,0,0,0,4,4,1,4,10,14,POR,West,Northwest,Home,Win
2017,10/25/16,Hill,George,UTA,West,1,Northwest,Away,Loss,0,1,0,George Hill,Starter,39,PG,74,180,5/4/86,19,6,1,2,1,2,18,7,0.3889,12,6,0.5,6,1,0.1667,4,4,1,0,2,2,POR,West,Northwest,Home,Win
2017,10/25/16,Hood,Rodney,UTA,West,1,Northwest,Away,Loss,0,1,0,Rodney Hood,Starter,38,SG,80,215,10/20/92,26,1,0,2,1,3,17,9,0.5294,10,6,0.6,7,3,0.4286,5,5,1,0,2,2,POR,West,Northwest,Home,Win
2017,10/25/16,Diaw,Boris,UTA,West,1,Northwest,Away,Loss,0,1,0,Boris Diaw,Starter,32,C,80,215,4/16/82,2,0,1,0,0,5,8,1,0.125,5,1,0.2,3,0,0,0,0,0,1,2,3,POR,West,Northwest,Home,Win
2017,10/25/16,Johnson,Joe,UTA,West,1,Northwest,Away,Loss,0,1,0,Joe Johnson,Starter,31,SF,80,225,6/29/81,29,3,2,1,0,0,16,12,0.75,12,9,0.75,4,3,0.75,2,2,1,0,4,4,POR,West,Northwest,Home,Win
2017,10/25/16,Lyles,Trey,UTA,West,1,Northwest,Away,Loss,0,1,0,Trey Lyles,Bench,18,PF,82,241,11/5/95,5,2,3,0,0,0,6,2,0.3333,4,1,0.25,2,1,0.5,0,0,0,0,2,2,POR,West,Northwest,Home,Win
2017,10/25/16,Mack,Shelvin,UTA,West,1,Northwest,Away,Loss,0,1,0,Shelvin Mack,Bench,15,PG,75,210,4/22/90,4,4,0,2,0,1,5,2,0.4,4,2,0.5,1,0,0,0,0,0,0,1,1,POR,West,Northwest,Home,Win
2017,10/25/16,Ingles,Joseph,UTA,West,1,Northwest,Away,Loss,0,1,0,Joe Ingles,Bench,14,SF,80,216,10/2/87,2,1,1,1,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,POR,West,Northwest,Home,Win
2017,10/25/16,Exum,Dante,UTA,West,1,Northwest,Away,Loss,0,1,0,Dante Exum,Bench,8,PG,77,190,7/13/95,5,0,0,0,0,2,4,2,0.5,3,2,0.6667,1,0,0,1,1,1,1,1,2,POR,West,Northwest,Home,Win
2017,10/25/16,Withey,Jeffree,UTA,West,1,Northwest,Away,Loss,0,1,0,Jeff Withey,Bench,5,C,84,235,3/7/90,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,POR,West,Northwest,Home,Win
2017,10/25/16,McCollum,Christian,POR,West,1,Northwest,Home,Win,1,1,0,C.J. McCollum,Starter,35,SG,75,197,9/19/91,25,3,3,1,0,3,16,8,0.5,14,6,0.4286,2,2,1,7,7,1,1,1,2,UTA,West,Northwest,Away,Loss
2017,10/25/16,Lillard,Damian,POR,West,1,Northwest,Home,Win,1,1,0,Damian Lillard,Starter,35,PG,75,195,7/15/90,39,6,4,0,0,3,20,13,0.65,14,9,0.6429,6,4,0.6667,9,9,1,1,8,9,UTA,West,Northwest,Away,Loss
2017,10/25/16,Aminu,Al-Farouq,POR,West,1,Northwest,Home,Win,1,1,0,Al-Farouq Aminu,Starter,28,SF,81,215,9/21/90,9,1,1,1,0,0,6,3,0.5,3,1,0.3333,3,2,0.6667,1,1,1,0,4,4,UTA,West,Northwest,Away,Loss
2017,10/25/16,Harkless,Maurice,POR,West,1,Northwest,Home,Win,1,1,0,Moe Harkless,Starter,22,SF,81,220,5/11/93,0,1,2,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,UTA,West,Northwest,Away,Loss
2017,10/25/16,Plumlee,Mason,POR,West,1,Northwest,Home,Win,1,1,0,Mason Plumlee,Starter,15,PF,82,235,3/5/90,2,1,0,0,0,4,4,1,0.25,4,1,0.25,0,0,0,0,0,0,0,1,1,UTA,West,Northwest,Away,Loss
2017,10/25/16,Crabbe,Allen,POR,West,1,Northwest,Home,Win,1,1,0,Allen Crabbe,Bench,29,SG,78,197,4/4/92,18,3,2,0,0,2,10,6,0.6,5,2,0.4,5,4,0.8,2,2,1,0,3,3,UTA,West,Northwest,Away,Loss
2017,10/25/16,Turner,Evan,POR,West,1,Northwest,Home,Win,1,1,0,Evan Turner,Bench,26,SG,79,210,10/27/88,3,5,0,1,1,1,7,1,0.1429,7,1,0.1429,0,0,0,1,1,1,0,5,5,UTA,West,Northwest,Away,Loss
2017,10/25/16,Davis,Edward,POR,West,1,Northwest,Home,Win,1,1,0,Ed Davis,Bench,24,PF,82,215,6/5/89,6,1,0,0,1,2,3,2,0.6667,3,2,0.6667,0,0,0,2,2,1,3,4,7,UTA,West,Northwest,Away,Loss
2017,10/25/16,Vonleh,Noah,POR,West,1,Northwest,Home,Win,1,1,0,Noah Vonleh,Bench,16,PF,82,240,8/24/95,11,0,0,0,1,1,5,5,1,4,4,1,1,1,1,0,0,0,0,1,1,UTA,West,Northwest,Away,Loss
2017,10/25/16,Leonard,Meyers,POR,West,1,Northwest,Home,Win,1,1,0,Meyers Leonard,Bench,9,PF,85,245,2/27/92,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,UTA,West,Northwest,Away,Loss
2017,10/25/16,Aldridge,LaMarcus,SA,West,1,Southwest,Away,Win,1,1,0,LaMarcus Aldridge,Starter,35,PF,83,240,7/19/85,26,3,2,1,0,1,20,10,0.5,19,9,0.4737,1,1,1,6,5,0.8333,8,6,14,GS,West,Pacific,Home,Loss
2017,10/25/16,Leonard,Kawhi,SA,West,1,Southwest,Away,Win,1,1,0,Kawhi Leonard,Starter,32,SF,79,225,6/29/91,35,3,2,5,0,1,21,10,0.4762,18,10,0.5556,3,0,0,15,15,1,3,2,5,GS,West,Pacific,Home,Loss
2017,10/25/16,Parker,Tony,SA,West,1,Southwest,Away,Win,1,1,0,Tony Parker,Starter,26,PG,74,180,5/17/82,9,4,2,0,0,4,9,4,0.4444,7,3,0.4286,2,1,0.5,0,0,0,0,3,3,GS,West,Pacific,Home,Loss
2017,10/25/16,Anderson,Kyle,SA,West,1,Southwest,Away,Win,1,1,0,Kyle Anderson,Starter,22,SF,81,230,9/20/93,3,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,2,2,4,GS,West,Pacific,Home,Loss
2017,10/25/16,Gasol,Pau,SA,West,1,Southwest,Away,Win,1,1,0,Pau Gasol,Starter,18,C,84,250,7/6/80,2,1,1,0,0,3,4,1,0.25,4,1,0.25,0,0,0,0,0,0,0,4,4,GS,West,Pacific,Home,Loss
2017,10/25/16,Simmons,Jonathon,SA,West,1,Southwest,Away,Win,1,1,0,Jonathon Simmons,Bench,28,SG,78,195,9/14/89,20,3,2,0,1,2,14,8,0.5714,9,5,0.5556,5,3,0.6,3,1,0.3333,1,3,4,GS,West,Pacific,Home,Loss
2017,10/25/16,Ginóbili,Emanuel,SA,West,1,Southwest,Away,Win,1,1,0,Manu Ginóbili,Bench,21,SG,78,210,7/28/77,10,2,0,1,0,1,10,4,0.4,4,2,0.5,6,2,0.3333,0,0,0,0,5,5,GS,West,Pacific,Home,Loss
